Date,Time,Location,Operator,Flight Number,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
12/23/02,19:30,"Near Isfanan, Iran",Aeromist-Kharkiv,636,"Kharkiv, Ukraine - Trabzon, Turkey - Isfanan, Iran",Antonov AN-140,UR-14003,204,44,44,0
12/25/02,01:00,"Off Manteo, North Carolina",Telford Aviation,637,Elizabeth City - Manteo,Cessna 208B Caravan I,N1122Y,208B-0392,1,1,0
12/26/02,11:20,"Curitiba, Brazil",Military - Brazilian Air Force,638,Sao Paulo - Porto Alegre,Embraer-110 C-95B Bandeirante,FAB-2292,174,16,3,0
12/27/02,15:00,"Anjouan, Comoros Islands",Ocean Airlines,639,Moroni Hahaya - Anjouan,Let 410UVP,9XR-RB,810636,16,1,0
01/08/2003,20:28,"Diyarbakir, Turkey",Turkish Airlines (THY),640,Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,TC-THG,E-3241,80,75,0
01/08/2003,08:53,"Charlotte, North Carolina",US Air Express/Air Midwest,641,"Charlotte, NC - Greer, SC",Beech BE-1900D,N233YV,UE-233,21,21,0
01/09/2003,08:43,"Near Chachapoyas, Peru",TANS Airlines,642,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,OB-1396,11100,46,46,0
01/17/03,12:00,"Near Ndjolí©, Gabon",Aerocom,643,Brazzaville - Douala,Antonov 24B,ER-AFT,89901508,7,7,0
01/24/03,16:45,"Busia, Kenya",African Commuter Services,644,Busia - Nairobi,Grumman G-159 Gulfstream I,5Y-EMJ,158,13,3,0
01/31/03,15:21,"Baucau, East Timor",Euro Asia Aviation,645,Macau - Baucau,Ilyushin II-76TD,RDPL-34141,53465941,6,6,0
02/07/2003,12:00,"Near Agadir, Morocco",Volare Aviation Enterprise,646,Agadir - Algiers,Antonov 12BP,UR-LIP,9346405,8,8,0
02/10/2003,19:42,"Tallinn, Estonia",Enimex,647,Tallinn - Helsinki,Antonov AN-28,ES-NOY,1AJ006-04,3,2,0
02/16/03,20:02,"Ferguson, Kentucky",Air Taxi - Great Northern Aircraft Co.,648,"Griffith-Merrill, IN - Somerset, KY",Cessna 421,N421TJ,421-0051,7,3,0
02/19/03,17:30,"Near Shahdad, Iran",Military - IslamiRevolution's Guards Corps,649,Zahedan - Kerman,Ilyushin Il-76MD,15-22,63471155,275,275,0
02/20/03,08:52,"Near Kohat, Pakistan",Military - Pakistan Air Force,650,Islamabad - Kohat,Fokker F-27 Friendship 200,10254,10254,17,17,0
03/01/2003,14:25,"Near Barki, Russia",Private - Kabanov - skydiving,651,Skydiving,Let L-410UVP,FLARF-01032,831109,25,11,0
03/06/2003,15:45,"Tamanrasset, Algeria",Air Algerie,652,Tamanrasset - Algiers,Boeing B-737-2T4,7T-VEZ,22700/885,103,102,0
03/27/03,12:30,"Mulia, Indonesia",PT Air Regional,653,Mulia - Wamena,de Havilland Canada DHC-6 Twin Otter,PK-WAY,261,16,4,0
03/28/03,15:49,"New Vienna, Iowa",Morris Hancock Flying Club - Charter,654,"Aurora, IL - Morris, MN",Beech A36,N1636W,E-348,3,3,0
